 unique id,image,brand,category,collection,code,finishing,size,quantity,detail,currency in euro,retail price in euro,rate,currency,retail price,discount,nett price,location,status,arriving ETA,booking,booking expired,mix category
181,poldina peanut-heart.jpg,ZAFFERANO,Portable Lamps,Poldina x Peanuts Heart,LD0340BP2,White,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,360,"19,000",Rp,"6,840,000",,,WH Barito,,,,,
182,poldina peanut-friends.jpg,ZAFFERANO,Portable Lamps,Poldina x Peanuts Friends ,LD0340BP3,white,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,360,"19,000",Rp,"6,840,000",,,WH Barito,,,,,
183,poldina peanut-together.jpg,ZAFFERANO,Portable Lamps,Poldina x Peanuts Together ,LD0340RP5,Corten,Ø 11 x 38 cm,1,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,360,"19,000",Rp,"6,840,000",,,Showroom Display,,,,,
184,poldina Pro_white.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340B3,White,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,Showroom Display,,,,,
185,Zafferano-poldina Pro_corten.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340R3,Corten,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
186,poldina Pro_dark grey.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340N3,Dark Grey,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
187,Zafferano-Poldina Pro Table_Sand.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340S3,Sand,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
188,Zafferano-Poldina Pro Table_Burgundy.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340X3,Burgundy,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
189,Zafferano-Poldina Pro Table_Dark Green.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340M3,Dark Green,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
190,Zafferano-Poldina Pro Table_Sage Green.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340G3,Sage Green,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,280,"19,000",Rp,"5,320,000",,,WH Barito,,,,,
191,Zafferano-Poldina Pro Table_Glossy Gold.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340G3,Glossy Gold,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,430,"19,000",Rp,"8,170,000",,,WH Barito,,,,,
192,Zafferano-Poldina Pro Table_Glossy Chrome.jpg,ZAFFERANO,Portable Lamps,Poldina Pro ,LD0340C3,Glossy Chrome,Ø 11 x 38 cm,4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,430,"19,000",Rp,"8,170,000",,,WH Barito,,,,,
